nom	id	theme	v25	v2026
<Chaîne Unicode>.RegexCherche	1410090619	gestion des chaînes de caractères (syntaxe préfixée)	0	1
<Chaîne Unicode>.RegexRemplace	1410090620	gestion des chaînes de caractères (syntaxe préfixée)	0	1
<Chaîne Unicode>.RegexVérifie	1410090621	gestion des chaînes de caractères (syntaxe préfixée)	0	1
<Champ>.Rectangle	1410090622		0	1
<Champ d'affichage HTML>.DepuisEmail	1410087278	gestion des champs d'affichage HTML (syntaxe préfixée)	0	1
<Champ d'affichage HTML>.ExécuteJS	1000024372		0	1
<Champ d'affichage HTML>.ExécuteProcédureNavigateur	1000026265	gestion des champs d'affichage HTML (syntaxe préfixée)	0	1
<Champ d'affichage HTML>.ExécuteTraitementChamp	1000026266	gestion des champs d'affichage HTML (syntaxe préfixée)	0	1
<Champ d'affichage HTML>.ValeurChamp	1000026268	gestion des champs d'affichage HTML (syntaxe préfixée)	0	1
<Champ d'affichage HTML>.ValideFormulaire	1000026311	gestion des champs d'affichage HTML (syntaxe préfixée)	0	1
<Champ d'afichage HTML>.SurErreurJS	1000026267	gestion des champs d'affichage HTML (syntaxe préfixée)	0	1
<Champ Html>.ExécuteJS	1000024372		1	0
<Chat IA>.AjoutLigne	1410086779	Chat IA (syntaxe préfixée)	0	1
<Chat IA>.ChargeConversation	1410086776	Chat IA (syntaxe préfixée)	0	1
<Chat IA>.Demande	1410091554	Chat IA (syntaxe préfixée)	0	1
<Chat IA>.RegénèreDemande	1410086775	Chat IA (syntaxe préfixée)	0	1
<Chat IA>.SauveConversation	1410086774	Chat IA (syntaxe préfixée)	0	1
<Chat IA>.StopDemande	1410086773		0	1
